78	銀煤竹	ぎんすすたけ	Orange Citrine	28	48	92	24
79	丁字茶	ちょうじちゃ	Sudan Brown	25	60	65	19
80	海松茶	みるちゃ	Olive Green	56	40	85	22
81	鶯茶	うぐいすちゃ	Light Brownish Olive	42	46	73	24
82	生壁色	なまかべいろ	Deep Grayish Olive	50	48	78	37
83	媚茶色	こびちゃいろ	Pale Raw Umber	46	63	87	32
84	憲法色	けんぼういろ	Sepia	48	60	100	40
85	赤白橡	あかのしろつるばみ	Madder Brown	36	88	100	38
86	煙草色	たばこいろ	Mars Brown/Tobacco	39	76	100	47
87	焦茶色	こげちゃいろ	Vandyke Brown	56	71	97	52
88	白緑	びゃくろく	Turquoise Green	29	0	24	0
89	裏葉色	うらはいろ	Glaucous Green	30	9	24	0
90	若苗色	わかなえいろ	Dark Greenish Glaucous	30	15	36	0
91	若草色	わかくさいろ	Yellow Green	35	0	72	0
92	鶸色	ひわいろ	Light Green Yellow	26	5	85	0
93	鶸萌木	ひわもえぎ	Night Green	52	0	100	0
94	苔色	こけいろ	Olive Yellow	40	30	80	0
95	千草鼠	ちくさねずみ	Artemisia Green	57	28	39	8
96	山鳩色	やまばといろ	Andover Green	60	40	50	10
97	松葉色	まつばいろ	Rainette Green	42	20	62	28
98	老緑	おいみどり	Chromium Green	50	16	58	20
99	木賊色	とくさいろ	Pistachio Green	64	29	56	6
100	若竹色	わかたけいろ	Sea Green	80	0	51	0
101	青竹色	あおたけいろ	Benzol Green	100	15	55	0
102	老竹色	おいたけいろ	Light Porcelain Green	86	22	50	3
103	緑色	みどりいろ	Green	75	21	73	0
104	草色	くさいろ	Dull Viridian Green	90	20	80	0
105	麹塵	きくじん	Oil Green	53	28	100	8
106	常磐色	ときわいろ	Diamine Green	87	20	100	10
107	萌木色	もえぎいろ	Cossack Green	76	32	91	18
108	海松色	みるいろ	Lincoln Green	60	48	86	37
109	藍海松茶	あいみるちゃ	Blackish Olive	56	32	63	55
110	千歳茶	せんさいちゃ	Deep Slate Olive	76	60	80	62
111	水色	みずいろ	Nile Blue	25	0	10	0
112	瓶覗	かめのぞき	Pale King's Blue	33	4	7	0
113	深川鼠	ふかがわねずみ	Light Glaucous Blue	35	10	14	0
114	空色	そらいろ	Salvia Blue	41	25	10	0
115	青磁色	せいじいろ	Cobalt Green	42	0	42	0
116	淡浅葱	うすあさぎ	Calamine Blue	50	0	20	0
117	水浅葱	みずあさぎ	Venice Green	58	0	30	0
118	花浅葱	はなあさぎ	Cerulian Blue	84	26	32	0
119	浅葱色	あさぎいろ	Peacock Blue	100	19	43	0
120	納戸鼠	なんどねずみ	Green Blue	82	24	40	3
121	浅縹	うすはなだ	Olympic Blue	69	44	10	0
122	青色	あおいろ	Blue	95	54	0	0
123	納戸色	なんどいろ	Antwarp Blue	100	40	30	10
124	活色	かついろ	Helvetia Blue	100	62	19	10
125	藍鼠	あいねずみ	Dark Medici Blue	70	45	45	15
126	海松藍	みるあい	Dusky Green	100	30	64	50
127	群青色	ぐんじょういろ	Deep Lyons Blue	100	85	15	6
128	花色	はないろ	Violet Blue	85	79	38	16
129	縹色	はなだいろ	Vandar Poel's Blue	100	73	43	10
130	深縹	こきはなだ	Dark Tyrian Blue	90	66	36	50
131	褐色	かちいろ	Dull Violet Black	100	90	38	50
132	紺色	こんいろ	Deep Indigo	100	92	52	60
133	鉄色	てついろ	Deep Slate Green	80	50	60	70
134	藤色	ふじいろ	Grayish Lavender	28	28	0	0
135	薄色	うすいろ	Grayish Lavender	25	33	20	0
136	紅藤	べにふじ	Laelia Pink	20	48	18	0
137	鳩羽紫	はとばむらさき	Lilac	28	54	8	0
138	梅紫	うめむらさき	Eupatorium Purple	25	79	12	0
139	浅紫	うすむらさき	Light Mauve	43	62	5	0
140	半色	はしたいろ	Aconite Violet	39	68	5	0
141	藤納戸	ふじなんど	Dull Blue Violet	57	60	17	0
142	二藍	ふたあい	Dark Soft Violet	70	68	13	0
143	桔梗色	ききょういろ	Blue Violet	72	80	0	0
144	浅滅紫	うすけしむらさき	Purple Drab	38	65	49	26
145	藤鼠	ふじねずみ	Deep Violet/Plumbeous	61	52	43	7
146	牡丹鼠	ぼたんねずみ	Vernonia Purple	42	78	46	15
147	蒲萄色	えびいろ	Dark Slate Purple	64	85	60	10
148	濃色	こきいろ	Taupe Brown	30	70	35	40
149	桑染色	くわぞめいろ	Violet Carmine	64	90	70	10
150	紫色	むらさきいろ	Violet	85	90	18	0
151	菖蒲色	あやめいろ	Red Violet	76	100	25	15
152	杜若色	かきつばたいろ	Cotinga Purple	66	100	42	40
153	黒紫	こくし	Dusky Madder Violet	75	100	46	30
154	白色	しろいろ	White	0	0	0	0
155	銀鼠	ぎんねず	Neutral Gray	29	18	20	0
156	鼠色	ねずみいろ	Mineral Gray	33	18	25	7
157	灰色	はいいろ	Warm Gray	37	28	36	3
158	石板色	せきばんいろ	Slate Color	85	70	62	30
159	黒色	くろいろ	Black	20	10	15	100
